GeneName	geneSymbol	GeneDescription
RDN5-4	RDN5-4	""
RDN5-5	RDN5-5	""
RDN5-6	RDN5-6	""
RDN58-1	RDN58-1	""
RDN58-2	RDN58-2	""
snR10	SNR10	Small Nucleolar RNA
snR11	SNR11	Small Nucleolar RNA
snR128	SNR128	Small Nucleolar RNA
snR13	SNR13	Small Nucleolar RNA
snR14	SNR14	Small Nuclear RNA
snR161	SNR161	""
snR17a	SNR17A	Small Nucleolar RNA
snR17b	SNR17B	Small Nucleolar RNA
snR18	SNR18	Small Nucleolar RNA
snR189	SNR189	Small Nucleolar RNA
snR19	SNR19	Small Nuclear RNA
snR190	SNR190	Small Nucleolar RNA
snR191	SNR191	Small Nucleolar RNA
snR24	SNR24	Small Nucleolar RNA
snR3	SNR3	Small Nucleolar RNA
snR30	SNR30	Small Nucleolar RNA
snR31	SNR31	Small Nucleolar RNA
snR32	SNR32	Small Nucleolar RNA
snR33	SNR33	Small Nucleolar RNA
snR34	SNR34	Small Nucleolar RNA
snR35	SNR35	Small Nucleolar RNA
snR36	SNR36	Small Nucleolar RNA
snR37	SNR37	Small Nucleolar RNA
snR38	SNR38	Small Nucleolar RNA
snR39	SNR39	Small Nucleolar RNA
snR39B	SNR39B	Small Nucleolar RNA
snR4	SNR4	Small Nucleolar RNA
snR40	SNR40	Small Nucleolar RNA
snR41	SNR41	Small Nucleolar RNA
snR42	SNR42	Small Nucleolar RNA
snR43	SNR43	Small Nucleolar RNA
snR44	SNR44	Small Nucleolar RNA
snR45	SNR45	Small Nucleolar RNA
snR46	SNR46	Small Nucleolar RNA
snR47	SNR47	Small Nucleolar RNA
snR48	SNR48	Small Nucleolar RNA
snR49	SNR49	Small Nucleolar RNA
snR5	SNR5	Small Nucleolar RNA
snR50	SNR50	Small Nucleolar RNA
snR51	SNR51	Small Nucleolar RNA
snR52	SNR52	Small Nucleolar RNA
snR53	SNR53	Small Nucleolar RNA
snR54	SNR54	Small Nucleolar RNA
snR55	SNR55	Small Nucleolar RNA
snR56	SNR56	Small Nucleolar RNA
snR57	SNR57	Small Nucleolar RNA
snR58	SNR58	Small Nucleolar RNA
snR59	SNR59	Small Nucleolar RNA
snR6	SNR6	Small Nuclear RNA
snR60	SNR60	Small Nucleolar RNA
snR61	SNR61	Small Nucleolar RNA
snR62	SNR62	Small Nucleolar RNA
snR63	SNR63	Small Nucleolar RNA
snR64	SNR64	Small Nucleolar RNA
snR65	SNR65	Small Nucleolar RNA
snR66	SNR66	Small Nucleolar RNA
snR67	SNR67	Small Nucleolar RNA
snR68	SNR68	Small Nucleolar RNA
snR69	SNR69	Small Nucleolar RNA
snR70	SNR70	Small Nucleolar RNA
snR71	SNR71	Small Nucleolar RNA
snR72	SNR72	Small Nucleolar RNA
snR73	SNR73	Small Nucleolar RNA
snR74	SNR74	Small Nucleolar RNA
snR75	SNR75	Small Nucleolar RNA
snR76	SNR76	Small Nucleolar RNA
snR77	SNR77	Small Nucleolar RNA
snR78	SNR78	Small Nucleolar RNA
snR79	SNR79	Small Nucleolar RNA
snR7-L	SNR7-L	Small Nuclear RNA
snR7-S	SNR7-S	Small Nuclear RNA
snR8	SNR8	Small Nucleolar RNA
snR80	SNR80	Small Nucleolar RNA
snR81	SNR81	Small Nucleolar RNA
snR82	SNR82	Small Nucleolar RNA
snR83	SNR83	Small Nucleolar RNA
snR84	SNR84	Small Nucleolar RNA
snR85	SNR85	Small Nucleolar RNA
snR86	SNR86	""
snR87	SNR87	Small Nucleolar RNA
snR9	SNR9	Small Nucleolar RNA
tA(AGC)D	""	""
tA(AGC)F	""	""
tA(AGC)G	""	""
tA(AGC)H	""	""
tA(AGC)J	""	""
tA(AGC)K1	""	""
tA(AGC)K2	""	""
tA(AGC)L	""	""
tA(AGC)M1	""	""
tA(AGC)M2	""	""
tA(AGC)P	""	""
tA(UGC)A	TGA1	""
tA(UGC)E	""	""
tA(UGC)G	""	""
tA(UGC)L	""	""
tA(UGC)O	""	""
tA(UGC)Q	""	""
tC(GCA)B	""	""
tC(GCA)G	""	""
tC(GCA)P1	""	""
tC(GCA)P2	""	""
tC(GCA)Q	""	""
tD(GUC)B	""	""
tD(GUC)D	""	""
tD(GUC)G1	""	""
tD(GUC)G2	""	""
tD(GUC)I1	""	""
tD(GUC)I2	""	""
tD(GUC)J1	""	""
tD(GUC)J2	""	""
tD(GUC)J3	""	""
tD(GUC)J4	""	""
tD(GUC)K	""	""
tD(GUC)L1	""	""
tD(GUC)L2	""	""
tD(GUC)M	""	""
tD(GUC)N	""	""
tD(GUC)O	""	""
tD(GUC)Q	""	""
tE(CUC)D	""	""
tE(CUC)I	""	""
tE(UUC)B	""	""
tE(UUC)C	""	""
tE(UUC)E1	""	""
tE(UUC)E2	""	""
tE(UUC)E3	""	""
tE(UUC)G1	SOE1	Suppressor Of cdcEight
tE(UUC)G2	""	""
tE(UUC)G3	""	""
tE(UUC)I	""	""
tE(UUC)J	""	""
tE(UUC)K	""	""
tE(UUC)L	""	""
tE(UUC)M	""	""
tE(UUC)P	""	""
tE(UUC)Q	""	""
tF(GAA)B	""	""
tF(GAA)D	""	""
tF(GAA)F	""	""
tF(GAA)G	""	""
tF(GAA)H1	""	""
tF(GAA)H2	""	""
tF(GAA)M	""	""
tF(GAA)N	""	""
tF(GAA)P1	""	""
tF(GAA)P2	""	""
tF(GAA)Q	""	""
tG(CCC)D	SUF3	SUppression of Frameshift mutation
tG(CCC)O	SUF5	""
tG(GCC)B	""	""
tG(GCC)C	SUF16	SUppression of Frameshift mutation
tG(GCC)D1	""	""
tG(GCC)D2	""	""
tG(GCC)E	""	""
tG(GCC)F1	SUF20	""
tG(GCC)F2	""	""
tG(GCC)G1	""	""
tG(GCC)G2	""	""
tG(GCC)J1	""	""
tG(GCC)J2	SUF23	""
tG(GCC)M	""	""
tG(GCC)O1	""	""
tG(GCC)O2	SUF17	""
tG(GCC)P1	""	""
tG(GCC)P2	""	""
tG(UCC)G	SUF4	""
tG(UCC)N	SUF6	""
tG(UCC)O	SUF1	""
tG(UCC)Q	""	""
tH(GUG)E1	""	""
tH(GUG)E2	""	""
tH(GUG)G1	""	""
tH(GUG)G2	""	""
tH(GUG)H	""	""
tH(GUG)K	""	""
tH(GUG)M	""	""
tH(GUG)Q	""	""
tI(AAU)B	""	""
tI(AAU)D	""	""
tI(AAU)E1	""	""
tI(AAU)E2	""	""
tI(AAU)G	""	""
tI(AAU)I1	""	""
tI(AAU)I2	""	""
tI(AAU)L1	""	""
tI(AAU)L2	""	""
tI(AAU)N1	""	""
tI(AAU)N2	""	""
tI(AAU)P1	""	""
tI(AAU)P2	""	""
tI(GAU)Q	""	""
tI(UAU)D	""	""
tI(UAU)L	""	""
tK(CUU)C	""	""
tK(CUU)D1	""	""
tK(CUU)D2	""	""
tK(CUU)E1	""	""
tK(CUU)E2	""	""
tK(CUU)F	""	""
tK(CUU)G1	""	""
tK(CUU)G2	""	""
tK(CUU)G3	""	""
tK(CUU)I	""	""
tK(CUU)J	""	""
tK(CUU)K	""	""
tK(CUU)M	""	""
tK(CUU)P	""	""
tK(UUU)D	""	""
tK(UUU)G1	""	""
tK(UUU)G2	""	""
tK(UUU)K	""	""
tK(UUU)L	""	""
tK(UUU)O	""	""
tK(UUU)P	""	""
tK(UUU)Q	""	""
TLC1	TLC1	TeLomerase Component
tL(CAA)A	SUP56	SUPpressor
tL(CAA)C	SUP53	SUPpressor
tL(CAA)D	""	""
tL(CAA)G1	""	""
tL(CAA)G2	SUP54	SUPpressor
tL(CAA)G3	""	""
tL(CAA)K	""	""
tL(CAA)L	""	""
tL(CAA)M	""	""
tL(CAA)N	""	""
tL(GAG)G	""	""
tL(UAA)B1	""	""
tL(UAA)B2	""	""
tL(UAA)D	""	""
tL(UAA)J	SUP51	SUPpressor
tL(UAA)K	""	""
tL(UAA)L	""	""
tL(UAA)N	""	""
tL(UAA)Q	""	""
tL(UAG)J	""	""
tL(UAG)L1	""	""
tL(UAG)L2	""	""
tM(CAU)C	""	""
tM(CAU)D	EMT1	Elongator MeThionine-accepting tRNA
tM(CAU)E	IMT4	Initiator Methionine tRNA
tM(CAU)J1	EMT5	Elongator MeThionine-accepting tRNA
tM(CAU)J2	EMT3	Elongator MeThionine-accepting tRNA
tM(CAU)J3	IMT3	Initiator Methionine tRNA
tM(CAU)M	EMT4	Elongator MeThionine-accepting tRNA
tM(CAU)O1	IMT1	Initiator Methionine tRNA
tM(CAU)O2	EMT2	Elongator MeThionine-accepting tRNA
tM(CAU)P	IMT2	Initiator Methionine tRNA
tM(CAU)Q1	""	""
tM(CAU)Q2	""	""
tN(GUU)C	""	""
tN(GUU)F	""	""
tN(GUU)G	""	""
tN(GUU)K	""	""
tN(GUU)L	""	""
tN(GUU)N1	""	""
tN(GUU)N2	""	""
tN(GUU)O1	""	""
tN(GUU)O2	""	""
tN(GUU)P	""	""
tN(GUU)Q	""	""
tP(AGG)C	SUF2	SUppression of Frameshift mutation
tP(AGG)N	SUF10	""
tP(UGG)A	TRN1	TRNA
tP(UGG)F	SUF9	""
tP(UGG)H	SUF8	""
tP(UGG)L	""	""
tP(UGG)M	SUF7	""
tP(UGG)N1	""	""
tP(UGG)N2	""	""
tP(UGG)O1	""	""
tP(UGG)O2	SUF11	""
tP(UGG)O3	""	""
tP(UGG)Q	""	""
tQ(CUG)M	CDC65	Cell Division Cycle
tQ(UUG)B	""	""
tQ(UUG)C	""	""
tQ(UUG)D1	""	""
tQ(UUG)D2	""	""
tQ(UUG)D3	""	""
tQ(UUG)E1	""	""
tQ(UUG)E2	""	""
tQ(UUG)H	""	""
tQ(UUG)L	""	""
tQ(UUG)Q	""	""
tR(ACG)D	""	""
tR(ACG)E	""	""
tR(ACG)J	""	""
tR(ACG)K	""	""
tR(ACG)L	""	""
tR(ACG)O	""	""
tR(ACG)Q2	""	""
tR(CCG)L	TRR4	TRna aRg 4
tR(CCU)J	HSX1	""
tR(UCU)B	""	""
tR(UCU)D	""	""
tR(UCU)E	""	""
tR(UCU)G1	""	""
tR(UCU)G2	""	""
tR(UCU)G3	""	""
tR(UCU)J1	""	""
tR(UCU)J2	""	""
tR(UCU)K	""	""
tR(UCU)M1	""	""
tR(UCU)M2	""	""
tR(UCU)Q1	""	""
tS(AGA)A	""	""
tS(AGA)B	""	""
tS(AGA)D1	""	""
tS(AGA)D2	""	""
tS(AGA)D3	""	""
tS(AGA)E	""	""
tS(AGA)G	""	""
tS(AGA)H	""	""
tS(AGA)J	""	""
tS(AGA)L	""	""
tS(AGA)M	""	""
tS(CGA)C	SUP61	SUPpressor
tS(GCU)F	""	""
tS(GCU)O	""	""
tS(GCU)Q1	""	""
tS(UGA)E	SUP19	""
tS(UGA)I	SUP17	""
tS(UGA)P	SUP16	""
tS(UGA)Q2	""	""
tT(AGU)B	""	""
tT(AGU)C	""	""
tT(AGU)D	""	""
tT(AGU)H	""	""
tT(AGU)I1	""	""
tT(AGU)I2	""	""
tT(AGU)J	""	""
tT(AGU)N1	""	""
tT(AGU)N2	""	""
tT(AGU)O1	""	""
tT(AGU)O2	""	""
tT(CGU)K	TRT2	TRna thR 2
tT(UAG)Q2	""	""
tT(UGU)G1	""	""
tT(UGU)G2	""	""
tT(UGU)H	""	""
tT(UGU)P	""	""
tT(UGU)Q1	""	""
tV(AAC)E1	""	""
tV(AAC)E2	""	""
tV(AAC)G1	""	""
tV(AAC)G2	""	""
tV(AAC)G3	""	""
tV(AAC)H	""	""
tV(AAC)J	""	""
tV(AAC)K1	""	""
tV(AAC)K2	""	""
tV(AAC)L	""	""
tV(AAC)M1	""	""
tV(AAC)M2	""	""
tV(AAC)M3	""	""
tV(AAC)O	""	""
tV(CAC)D	""	""
tV(CAC)H	""	""
tV(UAC)B	""	""
tV(UAC)D	""	""
tV(UAC)Q	""	""
tW(CCA)G1	""	""
tW(CCA)G2	""	""
tW(CCA)J	""	""
tW(CCA)K	""	""
tW(CCA)M	""	""
tW(CCA)P	""	""
tW(UCA)Q	""	""
tX(XXX)D	""	""
tX(XXX)L	""	""
tY(GUA)D	SUP2	SUPpressor
tY(GUA)F1	SUP11	""
tY(GUA)F2	SUP6	SUPpressor
tY(GUA)J1	SUP7	SUPpressor
tY(GUA)J2	SUP4	SUPpressor
tY(GUA)M1	SUP5	SUPpressor
tY(GUA)M2	SUP8	SUPpressor
tY(GUA)O	SUP3	SUPpressor
tY(GUA)Q	""	""
YAL001C	TFC3	Transcription Factor class C
YAL002W	VPS8	Vacuolar Protein Sorting
YAL003W	EFB1	Elongation Factor Beta
YAL004W	""	""
YAL005C	SSA1	Stress-Seventy subfamily A
YAL007C	ERP2	Emp24p/Erv25p Related Protein
YAL008W	FUN14	Function Unknown Now
YAL009W	SPO7	SPOrulation
YAL010C	MDM10	Mitochondrial Distribution and Morphology
YAL011W	SWC3	SWr Complex
YAL012W	CYS3	CYStathionine gamma-lyase
YAL013W	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis
YAL014C	SYN8	SYNtaxin
YAL015C	NTG1	eNdonuclease Three-like Glycosylase
YAL016C-A	""	""
YAL016C-B	""	""
YAL016W	TPD3	tRNA Processing Deficient
YAL017W	PSK1	Pas domain-containing Serine/threonine protein Kinase
YAL018C	LDS1	Lipid Droplets in Sporulation
YAL019W	FUN30	Function Unknown Now
YAL019W-A	""	""
YAL020C	ATS1	Alpha Tubulin Suppressor
YAL021C	CCR4	Carbon Catabolite Repression
YAL022C	FUN26	Function Unknown Now
YAL023C	PMT2	Protein O-MannosylTransferase
YAL024C	LTE1	Low Temperature Essential
YAL025C	MAK16	MAintenance of Killer
YAL026C	DRS2	Deficiency of Ribosomal Subunits
YAL026C-A	""	""
YAL027W	SAW1	Single-strand Annealing Weakened
YAL028W	FRT2	Functionally Related to TCP1
YAL029C	MYO4	MYOsin
YAL030W	SNC1	Suppressor of the Null allele of CAP
YAL031C	GIP4	Glc7 Interacting Protein
YAL031W-A	""	""
YAL032C	PRP45	Pre-mRNA Processing
YAL033W	POP5	Processing Of Precursor RNAs
YAL034C	FUN19	Function Unknown Now
YAL034C-B	""	""
YAL034W-A	MTW1	Mis TWelve-like
YAL035W	FUN12	Function Unknown Now
YAL036C	RBG1	RiBosome interacting Gtpase
YAL037C-A	""	""
YAL037C-B	""	""
YAL037W	""	""
YAL038W	CDC19	Cell Division Cycle
YAL039C	CYC3	CYtochrome C
YAL040C	CLN3	CycLiN
YAL041W	CDC24	Cell Division Cycle
YAL042C-A	""	""
YAL042W	ERV46	ER Vesicle
YAL043C	PTA1	Pre-Trna Accumulation
YAL044C	GCV3	GlyCine cleaVage
YAL044W-A	BOL1	BolA-like protein
YAL045C	""	""
YAL046C	BOL3	BolA-like protein
YAL047C	SPC72	Spindle Pole Component
YAL047W-A	""	""
YAL048C	GEM1	GTPase EF-hand protein of Mitochondria
YAL049C	AIM2	Altered Inheritance rate of Mitochondria
YAL051W	OAF1	Oleate-Activated transcription Factor
YAL053W	FLC2	FLavin Carrier
YAL054C	ACS1	Acetyl CoA Synthetase
YAL055W	PEX22	PEroXisome related
YAL056C-A	""	""
YAL056W	GPB2	""
YAL058W	CNE1	CalNExin and calreticulin homolog
YAL059C-A	""	""
YAL059W	ECM1	ExtraCellular Mutant
YAL060W	BDH1	Butanediol DeHydrogenase
YAL061W	BDH2	""
YAL062W	GDH3	Glutamate DeHydrogenase
YAL063C	FLO9	FLOcculation
YAL063C-A	""	""
YAL064C-A	TDA8	Topoisomerase I Damage Affected
YAL064W	""	""
YAL064W-B	""	""
YAL065C	""	""
YAL066W	""	""
YAL067C	SEO1	Suppressor of sulfoxyde EthiOnine resistance
YAL067W-A	""	""
YAL068C	PAU8	seriPAUperin
YAL068W-A	""	""
YAL069W	""	""
YAR002C-A	ERP1	Emp24p/Erv25p Related Protein
YAR002W	NUP60	NUclear Pore
YAR003W	SWD1	Set1c, WD40 repeat protein
YAR007C	RFA1	Replication Factor A
YAR008W	SEN34	Splicing ENdonuclease
YAR014C	BUD14	BUD site selection
YAR015W	ADE1	ADEnine requiring
YAR018C	KIN3	protein KINase
YAR019C	CDC15	Cell Division Cycle
YAR019W-A	""	""
YAR020C	PAU7	seriPAUperin family
YAR023C	""	""
YAR027W	UIP3	Ulp1 Interacting Protein
YAR028W	""	""
YAR029W	""	""
YAR030C	""	""
YAR031W	PRM9	Pheromone-Regulated Membrane protein
YAR033W	MST28	Multicopy suppressor of Sec Twenty one
YAR035C-A	""	""
YAR035W	YAT1	""
YAR042W	SWH1	""
YAR047C	""	""
YAR050W	FLO1	FLOcculation
YAR053W	""	""
YAR060C	""	""
YAR064W	""	""
YAR066W	""	""
YAR068W	""	""
YAR069C	""	""
YAR070C	""	""
YAR071W	PHO11	PHOsphate metabolism
YAR073W	IMD1	IMP Dehydrogenase
YAR075W	""	""
YBL001C	ECM15	ExtraCellular Mutant
YBL002W	HTB2	Histone h Two B
YBL003C	HTA2	Histone h Two A
YBL004W	UTP20	U Three Protein
YBL005W	PDR3	Pleiotropic Drug Resistance
YBL006C	LDB7	Low Dye Binding
YBL006W-A	""	""
YBL007C	SLA1	Synthetic Lethal with ABP1
YBL008W	HIR1	HIstone Regulation
YBL008W-A	""	""
YBL009W	ALK2	""
YBL010C	""	""
YBL011W	SCT1	Suppressor of Choline-Transport mutants
YBL012C	""	""
YBL013W	FMT1	Formyl-Methionyl-tRNA Transformylase
YBL014C	RRN6	Regulation of RNA polymerase I
YBL015W	ACH1	Acetyl CoA Hydrolase
YBL016W	FUS3	cell FUSion
YBL017C	PEP1	carboxyPEPtidase Y-deficient
YBL018C	POP8	Processing Of Precursor RNAs
YBL019W	APN2	APurinic/apyrimidinic eNdonuclease
YBL020W	RFT1	Requiring Fifty-Three
YBL021C	HAP3	Heme Activator Protein
YBL022C	PIM1	Proteolysis In Mitochondria
YBL023C	MCM2	MiniChromosome Maintenance
YBL024W	NCL1	NuCLear protein
YBL025W	RRN10	Regulation of RNA polymerase I
YBL026W	LSM2	Like SM
YBL027W	RPL19B	Ribosomal Protein of the Large subunit
YBL028C	""	""
YBL029C-A	""	""
YBL029W	""	""
YBL030C	PET9	PETite
YBL031W	SHE1	Sensitivity to High Expression
YBL032W	HEK2	HEterogeneous nuclear rnp K-like gene
YBL033C	RIB1	RIBoflavin biosynthesis
YBL034C	STU1	Suppressor of TUbulin
YBL035C	POL12	POLymerase
YBL036C	""	""
YBL037W	APL3	clathrin Adaptor Protein complex Large chain
YBL038W	MRPL16	Mitochondrial Ribosomal Protein, Large subunit
YBL039C	URA7	URAcil requiring
YBL039C-A	""	""
YBL039W-B	MIN6	mitochondrial MINi protein of ~6 kDa
YBL040C	ERD2	Endoplasmic reticulum Retention Defective
YBL041W	PRE7	PRoteinase yscE
YBL042C	FUI1	5-FlUorourIdine resistance
YBL043W	ECM13	ExtraCellular Mutant
YBL044W	""	""
YBL045C	COR1	CORe protein of QH2 cytochrome c reductase
YBL046W	PSY4	Platinum SensitivitY
YBL047C	EDE1	EH Domains and Endocytosis
YBL048W	RRT1	Regulator of rDNA Transcription
YBL049W	MOH1	""
YBL050W	SEC17	SECretory
YBL051C	PIN4	Psi+ INducibility
YBL052C	SAS3	Something About Silencing
YBL053W	""	""
YBL054W	TOD6	Twin Of Dot6p
YBL055C	""	""
YBL056W	PTC3	Phosphatase Two C
YBL057C	PTH2	Peptidyl-Trna Hydrolase
YBL058W	SHP1	Suppressor of High-copy PP1
YBL059C-A	CMC2	Cx9C Motif-Containing protein
YBL059W	IAI11	Interactor of AIm11
YBL060W	YEL1	Yeast EFA6-Like
YBL061C	SKT5	""
YBL062W	""	""
YBL063W	KIP1	KInesin related Protein
YBL064C	PRX1	PeroxiRedoXin
YBL065W	""	""
YBL066C	SEF1	Suppressor of Essential Function
YBL067C	UBP13	UBiquitin-specific Protease
YBL068W	PRS4	PhosphoRibosylpyrophosphate Synthetase
YBL068W-A	""	""
YBL069W	AST1	ATPase STabilizing
YBL070C	""	""
YBL071C	""	""
YBL071C-B	""	""
YBL071W-A	KTI11	Kluveromyces lactis Toxin Insensitive
YBL072C	RPS8A	Ribosomal Protein of the Small subunit
YBL073W	""	""
YBL074C	AAR2	A1-Alpha2 Repression
YBL075C	SSA3	Stress-Seventy subfamily A
YBL076C	ILS1	IsoLeucine-tRNA Synthetase
YBL077W	""	""
YBL078C	ATG8	AuTophaGy related
YBL079W	NUP170	NUclear Pore
YBL080C	PET112	PETite colonies
YBL081W	""	""
YBL082C	ALG3	Asparagine Linked Glycosylation
YBL083C	""	""
YBL084C	CDC27	Cell Division Cycle
YBL085W	BOI1	Bem1 (One) Interacting protein
YBL086C	""	""
YBL087C	RPL23A	Ribosomal Protein of the Large subunit
YBL088C	TEL1	TELomere maintenance
YBL089W	AVT5	Amino acid Vacuolar Transport
YBL090W	MRP21	Mitochondrial Ribosomal Protein
YBL091C	MAP2	Methionine AminoPeptidase
YBL091C-A	SCS22	Suppressor of Choline Sensitivity
YBL092W	RPL32	Ribosomal Protein of the Large subunit
YBL093C	ROX3	Regulation by OXygen
YBL094C	""	""
YBL095W	MRX3	Mitochondrial oRganization of gene eXpression (MIOREX)
YBL096C	""	""
YBL097W	BRN1	homolog of BaRreN
YBL098W	BNA4	Biosynthesis of Nicotinic Acid
YBL099W	ATP1	ATP synthase
YBL100C	""	""
YBL100W-C	""	""
YBL101C	ECM21	ExtraCellular Mutant
YBL102W	SFT2	Suppressor of sed Five Ts
YBL103C	RTG3	ReTroGrade regulation
YBL104C	SEA4	SEh1-Associated
YBL105C	PKC1	Protein Kinase C
YBL106C	SRO77	Suppressor of rho3
YBL107C	MIX23	Mitochondrial Intermembrane space CX(n)C motif protein
YBL107W-A	""	""
YBL108C-A	PAU9	seriPAUperin
YBL108W	""	""
YBL109W	""	""
YBL111C	""	""
YBL112C	""	""
YBL113C	""	""
YBL113W-A	""	""
YBR001C	NTH2	Neutral TreHalase
YBR002C	RER2	Retention in the Endoplasmic Reticulum
YBR003W	COQ1	COenzyme Q
YBR004C	GPI18	GlycosylPhosphatidylInositol
YBR005W	RCR1	Resistance to Congo Red
YBR006W	UGA2	Utilization of GAba
YBR007C	DSF2	Deletion Suppressor of mptFive/pufFive mutation
YBR008C	FLR1	FLuconazole Resistance
YBR009C	HHF1	Histone H Four
YBR010W	HHT1	Histone H Three
YBR011C	IPP1	Inorganic PyroPhosphatase
YBR012C	""	""
YBR013C	""	""
YBR014C	GRX7	GlutaRedoXin
YBR015C	MNN2	MaNNosyltransferase
YBR016W	""	""
YBR017C	KAP104	KAryoPherin
YBR018C	GAL7	GALactose metabolism
YBR019C	GAL10	GALactose metabolism
YBR020W	GAL1	GALactose metabolism
YBR021W	FUR4	5-FlUoRouridine sensitivity
YBR022W	POA1	Phosphatase Of ADP-ribose 1"-phosphate
YBR023C	CHS3	CHitin Synthase-related
YBR024W	SCO2	Suppressor of Cytochrome Oxidase deficiency
YBR025C	OLA1	Obg-Like ATPase
YBR026C	ETR1	2-Enoyl Thioester Reductase
YBR027C	""	""
YBR028C	YPK3	""
YBR029C	CDS1	CDP-Diacylglycerol Synthase
YBR030W	RKM3	Ribosomal lysine (K) Methyltransferase
YBR031W	RPL4A	Ribosomal Protein of the Large subunit
YBR032W	""	""
YBR033W	EDS1	Expression Dependent on Slt2
YBR034C	HMT1	HnRNP MethylTransferase
YBR035C	PDX3	PyriDoXine auxotrophy
YBR036C	CSG2	Calcium Sensitive Growth
YBR037C	SCO1	Suppressor of Cytochrome Oxidase deficiency
YBR038W	CHS2	CHitin Synthase
YBR039W	ATP3	ATP synthase
YBR040W	FIG1	Factor-Induced Gene
YBR041W	FAT1	FATty acid transporter
YBR042C	CST26	Chromosome STability
YBR043C	QDR3	QuiniDine Resistance
YBR044C	TCM62	TriCarboxylic acid cycle Mutant
YBR045C	GIP1	Glc7-Interacting Protein
YBR046C	ZTA1	ZeTA-crystallin
YBR047W	FMP23	Found in Mitochondrial Proteome
YBR048W	RPS11B	Ribosomal Protein of the Small subunit
YBR049C	REB1	RNA polymerase I Enhancer Binding protein
YBR050C	REG2	REsistance to Glucose repression
YBR051W	""	""
YBR052C	RFS1	Rad55 (Fifty-five) Suppressor
YBR053C	""	""
YBR054W	YRO2	""
YBR055C	PRP6	Pre-mRNA Processing
YBR056C-B	""	""
YBR056W	""	""
YBR056W-A	MNC1	MaNganese Chelating protein 1
YBR057C	MUM2	MUddled Meiosis
YBR058C	UBP14	UBiquitin-specific Protease
YBR058C-A	TSC3	Temperature-sensitive Suppressors of Csg2 mutants
YBR059C	AKL1	Ark family Kinase-Like protein
YBR060C	ORC2	Origin Recognition Complex
YBR061C	TRM7	Transfer RNA Methyltransferase
YBR062C	""	""
YBR063C	""	""
YBR064W	""	""
YBR065C	ECM2	ExtraCellular Mutant
YBR066C	NRG2	Negative Regulator of Glucose-controlled genes
YBR067C	TIP1	Temperature shock-Inducible Protein
YBR068C	BAP2	Branched-chain Amino acid Permease
YBR069C	TAT1	Tyrosine and tryptophan Amino acid Transporter
YBR070C	ALG14	Asparagine Linked Glycosylation
YBR071W	""	""
YBR072C-A	""	""
YBR072W	HSP26	Heat Shock Protein
YBR073W	RDH54	RaD54 Homolog
YBR074W	PFF1	Protease in FXNA-related Family
YBR076C-A	""	""
YBR076W	ECM8	ExtraCellular Mutant
YBR077C	SLM4	Synthetic Lethal with Mss4
YBR078W	ECM33	ExtraCellular Mutant
YBR079C	RPG1	""
YBR080C	SEC18	SECretory
YBR081C	SPT7	SuPpressor of Ty's
YBR082C	UBC4	UBiquitin-Conjugating
YBR083W	TEC1	Transposon Enhancement Control
YBR084C-A	RPL19A	Ribosomal Protein of the Large subunit
YBR084W	MIS1	MItochondrial C1-tetrahydrofolate Synthase
YBR085C-A	""	""
YBR085W	AAC3	ADP/ATP Carrier
